Rank (avg),team_name,match_week,Goal Performance Index,Goal Envolvement Index,Goal Conversion Index,Possession GoalChance Index,corner Efficiency,freekick Efficiency,directfk Efficiency,throw in Efficiency,SetPiece Eficcacy Index,GoalSetPiece Performance Index
0,TopValues (min),15,6.76,3.48,6.42,7.02,7.17,5.33,4.42,4.72,5.86,6.54
0,TopValues (max),15,7.36,9.5,9.5,9.5,9.5,9.5,9.5,9.5,7.58,9.99
1,Universidad de Chile,15,7.36,9.09,7.41,8.21,7.42,9.5,0.63,4.78,6.66,9.99
2,Colo Colo,15,7.29,9.5,6.88,6.51,7.17,4.69,3.92,6.4,5.98,7.5
3,Coquimbo Unido,15,7.09,3.48,9.5,8.67,8.5,3.26,0.63,1.81,5.34,7.06
4,Audax Italiano,15,6.95,1.37,9.28,9.5,7.1,5.33,3.81,4.72,5.93,7.91
5,Palestino,15,6.89,5.67,7.84,3.34,2.15,5.86,6.42,0.5,3.55,5.96
6,Deportes Limache,15,6.77,2.81,5.23,9.26,6.6,5.55,6.94,1.35,5.86,7.53
7,Deportivo Ñublense SADP,15,6.76,6.75,1.55,7.83,3.51,7.04,9.5,9.5,5.89,3.95
8,Huachipato,15,6.7,3.06,9.07,2.85,6.37,5.08,3.52,6.73,5.66,4.94
9,Deportes Iquique,15,6.67,3.21,4.17,7.97,6.49,6.73,8.15,3.64,6.51,5.51
10,O'Higgins,15,6.54,5.03,0.89,7.02,9.5,7.72,0.5,8.27,7.58,9.17
11,Universidad Católica,15,6.47,3.16,6.42,1.25,2.61,3.67,3.05,2.18,2.9,4.86
12,Unión Española,15,6.45,3.79,3.29,3.88,7.31,2.76,2.94,1.35,4.92,5.72
13,Cobresal,15,6.25,1.25,2.99,4.48,7.54,0.5,4.42,3.66,4.93,4.6
14,Unión La Calera,15,6.19,2.03,3.62,1.2,0.5,0.99,6.73,1.2,1.63,0.5
15,La Serena,15,6.11,0.5,4.74,0.5,4.15,0.77,3.74,5.7,3.4,2.55
16,Everton,15,6.09,1.89,0.5,3.74,7.4,1.16,5.78,3.2,5.18,6.54
