match_id,team_name,team_id,account_id,match_date,competition,season,match_week,competition_stage,home_team,away_team,np_xg,np_shots,obv_shot,xgchain,goals,Goal Envolvement Index (norm),Goal Conversion Index (norm),Possession GoalChance Index (norm),Goal Performance Index,match_score
3980891,Huachipato,1915,7336,2025-02-15,Chile - Primera División,2025,1,Regular Season,O'Higgins,Huachipato,0.4175636767000001,7.0,-0.231467347,1.323647659,0.0,2.818150503255347,1.8333161003320062,2.072793713053341,5.194732777617553,O'Higgins(0) - Huachipato(0)
3980891,O'Higgins,1962,7336,2025-02-15,Chile - Primera División,2025,1,Regular Season,O'Higgins,Huachipato,1.626366081,22.0,-1.143276799,6.44060722,0.0,6.4713418808288115,1.3782363313653179,7.596902277350782,7.295778282982309,O'Higgins(0) - Huachipato(0)
3980892,Cobresal,1926,7336,2025-02-15,Chile - Primera División,2025,1,Regular Season,Palestino,Cobresal,0.9044683170000001,13.0,-0.1109342164,3.764795095,1.0,3.3110990995489438,3.1957162168483606,4.997279807106388,6.611429461966024,Palestino(2) - Cobresal(1)
3980892,Palestino,1925,7336,2025-02-15,Chile - Primera División,2025,1,Regular Season,Palestino,Cobresal,0.7129805,11.0,0.7401247400000001,7.30037049,2.0,4.905487671739241,4.09005201409791,3.740462687697912,7.273960258321488,Palestino(2) - Cobresal(1)
3980893,Coquimbo Unido,1914,7336,2025-02-15,Chile - Primera División,2025,1,Regular Season,Deportes Iquique,Coquimbo Unido,2.337543396,13.0,0.01772049679999999,8.231481787,3.0,3.3334478666914498,6.491898299470594,7.266113250817862,8.657485520981869,Deportes Iquique(0) - Coquimbo Unido(3)
3980893,Deportes Iquique,1864,7336,2025-02-15,Chile - Primera División,2025,1,Regular Season,Deportes Iquique,Coquimbo Unido,0.5275005965,8.0,-0.319691673,3.625859296,0.0,3.4511216220960286,2.17171118744405,2.2727706218427195,5.597011205628606,Deportes Iquique(0) - Coquimbo Unido(3)
3980894,Colo Colo,1916,7336,2025-02-16,Chile - Primera División,2025,1,Regular Season,La Serena,Colo Colo,1.155396826,15.0,1.1974833924,6.650260279999999,3.0,4.606563411765911,4.550642882330098,4.847493750135214,7.630796916426695,La Serena(1) - Colo Colo(3)
3980894,La Serena,1920,7336,2025-02-16,Chile - Primera División,2025,1,Regular Season,La Serena,Colo Colo,0.613664656,8.0,-0.235445501,1.946108538,1.0,1.932401645166565,3.2495193089929746,2.687937770800696,5.71535972290205,La Serena(1) - Colo Colo(3)
3980895,Audax Italiano,1918,7336,2025-02-17,Chile - Primera División,2025,1,Regular Season,Universidad Católica,Audax Italiano,0.557699818,9.0,-0.541840374,2.209261116,1.0,2.6384378936524175,2.6180439488556524,3.5043215812863897,5.811068906671629,Universidad Católica(3) - Audax Italiano(1)
3980895,Universidad Católica,1924,7336,2025-02-17,Chile - Primera División,2025,1,Regular Season,Universidad Católica,Audax Italiano,0.911238196,10.0,0.5757767737,4.517270919,3.0,2.740311418906816,6.204518399956386,3.019887487821692,7.440109687596586,Universidad Católica(3) - Audax Italiano(1)
3980896,Deportivo Ñublense SADP,5102,7336,2025-02-16,Chile - Primera División,2025,1,Regular Season,Universidad de Chile,Deportivo Ñublense SADP,0.209739053,5.0,-0.194064088,1.059994358,0.0,1.6882913374610418,0.5254678788954277,1.7781793659929774,4.156404020989316,Universidad de Chile(5) - Deportivo Ñublense SADP(0)
3980896,Universidad de Chile,1917,7336,2025-02-16,Chile - Primera División,2025,1,Regular Season,Universidad de Chile,Deportivo Ñublense SADP,3.081294988,34.0,-0.4502293404,18.36494318,5.0,9.5,4.0466085309273225,9.5,9.75,Universidad de Chile(5) - Deportivo Ñublense SADP(0)
3980897,Deportes Limache,30140,7336,2025-02-17,Chile - Primera División,2025,1,Regular Season,Deportes Limache,Everton,1.565039072,17.0,0.320253754,7.952647894,1.0,4.7434039355461834,2.7507643503233035,4.074874317782032,6.658778949332367,Deportes Limache(1) - Everton(1)
3980897,Everton,1919,7336,2025-02-17,Chile - Primera División,2025,1,Regular Season,Deportes Limache,Everton,1.19171526,13.0,-0.138049743,8.61051978,1.0,2.234200687737939,2.6991492766734235,5.551837408384807,6.152889328948826,Deportes Limache(1) - Everton(1)
3980898,Unión Española,1921,7336,2025-02-18,Chile - Primera División,2025,1,Regular Season,Unión La Calera,Unión Española,0.649313432,14.0,-0.6915466450000001,2.329446109,0.0,3.7080091180705192,0.7496660240137039,4.000835827923468,5.368336433486332,Unión La Calera(4) - Unión Española(0)
3980898,Unión La Calera,1954,7336,2025-02-18,Chile - Primera División,2025,1,Regular Season,Unión La Calera,Unión Española,1.772746275,10.0,0.7595180500000001,9.66056569,4.0,4.338436096223978,8.579148088081858,5.436641300023099,9.578395503693315,Unión La Calera(4) - Unión Española(0)
3980899,Audax Italiano,1918,7336,2025-02-21,Chile - Primera División,2025,2,Regular Season,Audax Italiano,Deportes Iquique,3.0958402196,18.0,1.18011222,12.69178532,4.0,5.342905726819286,5.230975967207169,8.847223616162143,9.027637501601516,Audax Italiano(4) - Deportes Iquique(2)
3980899,Deportes Iquique,1864,7336,2025-02-21,Chile - Primera División,2025,2,Regular Season,Audax Italiano,Deportes Iquique,1.194552021,15.0,0.13235092,5.559656464,2.0,5.546223133074937,3.5323623940542643,5.610250174996452,7.605768476048621,Audax Italiano(4) - Deportes Iquique(2)
3980900,Coquimbo Unido,1914,7336,2025-02-22,Chile - Primera División,2025,2,Regular Season,Coquimbo Unido,Universidad Católica,1.804620344,13.0,0.9592285812,10.53860378,1.0,3.4576523090668374,4.207291872483357,6.564860243058686,7.46689377257821,Coquimbo Unido(1) - Universidad Católica(0)
3980900,Universidad Católica,1924,7336,2025-02-22,Chile - Primera División,2025,2,Regular Season,Coquimbo Unido,Universidad Católica,0.690610965,16.0,-0.632290916,3.919024098,0.0,2.5750414614709705,1.3615880005501941,2.5071243049336958,4.985949368079598,Coquimbo Unido(1) - Universidad Católica(0)
3980901,Palestino,1925,7336,2025-02-21,Chile - Primera División,2025,2,Regular Season,Unión Española,Palestino,2.150847845,17.0,1.669875843,8.812347229,3.0,5.56149945292924,5.232192565283157,5.088303090032244,8.305891692908045,Unión Española(0) - Palestino(3)
3980901,Unión Española,1921,7336,2025-02-21,Chile - Primera División,2025,2,Regular Season,Unión Española,Palestino,0.6211450279999999,12.0,-0.601192361,2.744986386,0.0,2.7105995150230724,1.88010948422693,2.6545952860870847,5.3054191364489025,Unión Española(0) - Palestino(3)
3980902,Everton,1919,7336,2025-02-23,Chile - Primera División,2025,2,Regular Season,Huachipato,Everton,0.756363361,11.0,0.249893569,4.92126942,0.0,2.7017897800407455,2.176490137872012,2.2436305595502413,5.3565090610154495,Huachipato(4) - Everton(0)
